ID,Animal,Date,Recording,Include,TravelPFC,TravelCA1,Behavior,hemisphere,ProbeAB,ProbeCD,RegAB,RegCD,DOB,Notes
Letter,#,YYMMDD,#,0 to exlcude,in mm,in mm,"1 = vr behavior, 0 = none (baseline with screen off)",,,,,,YYMMDD,
S,17,210406,1,0,nan,1.7,1,R,W194,nan,CA1,nan,201117,"FIX CA1 CHANNEL MAPPING. Exclude for now unless I need the data. Errored out during behavior, try to salvage, will have to stitch together with behavior to use. No PFC bc couldn't get probe in brain"
S,17,210406,2,0,nan,1.7,1,R,W194,nan,CA1,nan,201117,"FIX CA1 CHANNEL MAPPING. Exclude for now unless I need the data. Errored out during behavior, try to salvage, will have to stitch together with behavior to use. No PFC bc couldn't get probe in brain"
S,17,210406,3,0,nan,1.7,1,R,W194,nan,CA1,nan,201117,"FIX CA1 CHANNEL MAPPING. Exclude for now unless I need the data. try to salvage, will have to stitch together with behavior"
S,17,210406,4,0,nan,1.7,1,R,W194,nan,CA1,nan,201117,FIX CA1 CHANNEL MAPPING. One or two trials so exclude overall
S,17,210406,5,0,nan,1.7,0,R,W194,nan,CA1,nan,201117,FIX CA1 CHANNEL MAPPING. Exclude for now unless I need the data. HCU just turned off at the end so I had to stop
S,17,210406,6,0,nan,1.7,1,R,W194,nan,CA1,nan,201117,FIX CA1 CHANNEL MAPPING. Exclude for now unless I need the data. HCU just turned off at the end so I had to stop
S,17,210407,1,1,1.8,1.74,1,R,W194,W189,CA1,PFC,201117,FIX CA1 CHANNEL MAPPING. 
S,17,210407,2,1,1.8,1.74,0,R,W194,W189,CA1,PFC,201117,FIX CA1 CHANNEL MAPPING. 
S,17,210407,3,1,1.8,1.74,1,R,W194,W189,CA1,PFC,201117,FIX CA1 CHANNEL MAPPING. 
S,17,210408,1,0,1.85,2.15,1,R,R405,W189,CA1,PFC,201117,"FIX CA1 CHANNEL MAPPING. Movement noise, proceed with caution. Deeper in the layer. Something weird happened with PFC channels, missing time data so exclude"
S,17,210408,2,1,1.85,2.15,0,R,R405,W189,CA1,PFC,201117,"FIX CA1 CHANNEL MAPPING. Movement noise, proceed with caution. Deeper in the layer"
S,17,210408,3,1,1.85,2.15,1,R,R405,W189,CA1,PFC,201117,"FIX CA1 CHANNEL MAPPING. Movement noise, proceed with caution. Deeper in the layer"
S,17,210409,1,1,1.9,2.45,1,R,R405,W189,CA1,PFC,201117,"Movement noise, proceed with caution. One shank is through the layer and CA1 probe started above I think Great behavior"
S,17,210410,1,1,2.04,2.04,1,R,R405,W189,CA1,PFC,201117,some movement noise
S,17,210410,2,1,2.04,2.04,1,R,R405,W189,CA1,PFC,201117,some movement noise
S,17,210412,1,1,2,1.92,0,L,R404,W198,PFC,CA1,201117,"movement noise, proceed with caution. Behavior file overwritten for the first session so marked as 0 even though there was behaivor"
S,17,210412,2,1,2,1.92,0,L,R404,W198,PFC,CA1,201117,"movement noise, proceed with caution."
S,17,210412,3,1,2,1.92,1,L,R404,W198,PFC,CA1,201117,"movement noise, proceed with caution."
S,17,210412,4,1,2,1.92,1,L,R404,W198,PFC,CA1,201117,"movement noise, proceed with caution."
S,17,210413,1,0,2.1,2.11,0,L,R405,W189,PFC,CA1,201117,
S,17,210413,2,1,2.1,2.11,1,L,R405,W189,PFC,CA1,201117,
S,17,210413,3,1,2.1,2.11,0,L,R405,W189,PFC,CA1,201117,
S,17,210413,4,0,2.1,2.11,0,L,R405,W189,PFC,CA1,201117,
S,17,210413,5,1,2.1,2.11,1,L,R405,W189,PFC,CA1,201117,
S,17,210414,1,1,2.09,2.19,1,L,W189,W195,PFC,CA1,201117,PFC very quiet
S,17,210414,2,1,2.09,2.19,0,L,W189,W195,PFC,CA1,201117,PFC very quiet
S,17,210414,3,1,2.09,2.19,1,L,W189,W195,PFC,CA1,201117,PFC very quiet
S,17,210414,4,1,2.09,2.19,1,L,W189,W195,PFC,CA1,201117,PFC very quiet
S,17,210415,1,1,2.15,1.9,1,L,W189,R405,PFC,CA1,201117,"Movement noise, bad behavior"
S,17,210415,2,1,2.15,1.9,0,L,W189,R405,PFC,CA1,201117,Movement noise
S,17,210415,3,1,2.15,1.9,1,L,W189,R405,PFC,CA1,201117,"Movement noise, bad behavior"
S,20,210509,1,1,2.35,1.73,1,R,W189,Y777,CA1,PFC,201117,Bad movement noise
S,20,210509,2,0,2.35,1.73,0,R,W189,Y777,CA1,PFC,201117,Bad movement noise
S,20,210509,3,1,2.35,1.73,0,R,W189,Y777,CA1,PFC,201117,Bad movement noise
S,20,210509,4,1,2.35,1.73,1,R,W189,Y777,CA1,PFC,201117,Bad movement noise
S,20,210510,1,1,2.3,1.775,1,R,W189,Y777,CA1,PFC,201117,
S,20,210510,2,1,2.3,1.775,0,R,W189,Y777,CA1,PFC,201117,
S,20,210510,3,1,2.3,1.775,1,R,W189,Y777,CA1,PFC,201117,
S,20,210511,1,1,2.6,1.8,1,R,W189,Y777,CA1,PFC,201117,
S,20,210511,2,0,2.6,1.8,0,R,W189,Y777,CA1,PFC,201117,
S,20,210511,3,1,2.6,1.8,1,R,W189,Y777,CA1,PFC,201117,
S,20,210511,4,1,2.6,1.8,0,R,W189,Y777,CA1,PFC,201117,
S,20,210511,5,1,2.6,1.8,1,R,W189,Y777,CA1,PFC,201117,
S,20,210512,1,1,2.4,1.91,1,R,W189,Y777,CA1,PFC,201117,
S,20,210512,2,1,2.4,1.91,0,R,W189,Y777,CA1,PFC,201117,
S,20,210512,3,1,2.4,1.91,1,R,W189,Y777,CA1,PFC,201117,
S,20,210513,1,1,2.3,1.875,1,R,W189,Y777,CA1,PFC,201117,
